+ Add Milestone,+ Ongeraho Intambwe Nkuru
Best regards,Amakuru meza
Billable,Bishobora kwishyurwa
Billable Amount,Amafaranga ashobora kwishyurwa
Billable Hours,Amasaha ashobora kwishyurwa
Billable Rate,Igipimo gishobora kwishyurwa
Billing Rate,Igipimo cy'ubwishyu
Blocked,Byahagaritswe
Both dates are needed to display task as a bar in Gantt chart,Amatariki yombi akenewe kugira umurimo ugaragare nk'umurongo kuri Gantt
Both doctype and docname are required,doctype na docname byombi bisabwa
Both proposed start and end times are required,Igihe cyo gutangira n'icyo kurangira byatanzwe byombi bisabwa
Both task_name and depends_on are required,task_name na depends_on byombi bisabwa
Breadcrumb,Inzira y'urugendo
Brief description of the defect or damage,Ibisobanuro bigufi by'ikosa cyangwa ubwangike
Brief description of this template,Ibisobanuro bigufi by'iyi ngero
Brief description of your request,Ibisobanuro bigufi by'icyifuzo cyawe
Brief project description,Ibisobanuro bigufi by'umushinga
Budget,Ingengo y'imari
Budget at risk,Ingengo y'imari iri mu kaga
Budget Burn Rate,Igipimo cy'imikoreshereze y'ingengo y'imari
Budget Status,Uko ingengo y'imari imeze
Budget updated,Ingengo y'imari yahinduwe
Budget:,Ingengo y'imari:
Bug,Ikosa
Burn Rate,Igipimo cy'imikoreshereze
Busy,Arafite akazi
By,Na
By Assignee,Ku wagenewe
By Group,Ku itsinda
By Milestone,Ku ntambwe nkuru
By Priority,Ku cyihutirwa
By Status,Ku miterere
Cancel,Hagarika
Cancelled,Byahagaritswe
cannot be undone,ntibizasubizwaho
Cannot delete client with {0} linked projects. Unlink projects first.,Ntushobora gusiba umukiriya ufite imishinga {0} ihujwe. Tangira ukure isano y'imishinga.
Cannot delete project with {0} linked tasks. Delete tasks first.,Ntushobora gusiba umushinga ufite imirimo {0} ihujwe. Tangira usibe imirimo.
Cannot delete resource with {0} active assignments. Complete or cancel them first.,Ntushobora gusiba umutungo ufite ibigenewe {0} birakora. Tangira ubirangize cyangwa ubihagarike.
Cannot delete task with {0} subtasks. Delete subtasks first.,Ntushobora gusiba umurimo ufite imirimo mito {0}. Tangira usibe imirimo mito.
Capacity,Ubushobozi
capacity,ubushobozi
Capacity & Rates,Ubushobozi n'Ibipimo
Capture project structure for reuse,Fata imiterere y'umushinga kugira ugaruke uyikoreshe
Cascade,Umurongo
Cascade Preview,Icyo umurongo uzagaragaza
Category,Icyiciro
Celebrate,Izihize
Change,Hindura
Change History,Amateka y'amahinduka
Change Priority,Hindura Ibyihutirwa
Change Status,Hindura Imiterere
Changes,Amahinduka
Changes appear when fields are modified.,Amahinduka agaragara imyanya ihindutse.
Check for new versions of Orga,Check for new versions of Orga
Check for Updates,Check for Updates
Checking...,Checking...
Checklist,Urutonde rwo kugenzura
Checklist item name is required,Izina ry'igice cy'urutonde rwo kugenzura risabwa
Checklist item not found,Igice cy'urutonde rwo kugenzura nticyabonetse
Checklist item title is required,Umutwe w'igice cy'urutonde rwo kugenzura usabwa
Checklist item {0} not found,Igice cy'urutonde rwo kugenzura {0} nticyabonetse
Checklist item {0} not found in task,Igice cy'urutonde rwo kugenzura {0} nticyabonetse mu murimo
Child,Umwana
Choose file to upload,Hitamo dosiye yo kohereza
Circular dependency detected: {0},Isano y'uruziga yagaragaye: {0}
Circular parent-child relationship detected,Isano y'uruziga y'umubyeyi-umwana yagaragaye
Clear,Kura
Clear all read,Kura ibyasomwe byose
Clear date,Kura itariki
Click on an activity from the list to view and manage its details.,Kanda ku gikorwa ku rutonde kugira ubone kandi ugenzure amakuru yacyo.
Click the avatar to upload a new photo,Kanda ishusho y'umukoresha kohereza ifoto nshya
Click to add description...,Kanda kongeraho ibisobanuro...
Click to add notes...,Kanda kongeraho amandiko...
Click to assign contact,Kanda kugira ugenere umuntu wo guhamagara
Click to change status,Kanda guhindura imiterere
Click to change type,Kanda guhindura ubwoko
Click to edit,Kanda guhindura
Click to edit budget,Kanda guhindura ingengo y'imari
Click to edit description,Kanda guhindura ibisobanuro
Click to edit end date,Kanda guhindura itariki y'iherezo
Click to edit milestone name,Kanda guhindura izina ry'intambwe nkuru
Click to edit rate,Kanda guhindura igipimo
Click to edit start date,Kanda guhindura itariki yo gutangira
Click to edit title,Kanda guhindura umutwe
Click to load,Kanda gufungura
Click to set group dependency...,Kanda gushyira isano y'itsinda...
Click to set group...,Kanda gushyira itsinda...
Click to view,Kanda kureba
Click to view at-risk projects,Kanda kureba imishinga iri mu kaga
Click to view critical projects,Kanda kureba imishinga y'ingenzi cyane
Click to view healthy projects,Kanda kureba imishinga igenda neza
Client,Umukiriya
Client already has a portal user: {0},Umukiriya asanzwe afite umukoresha w'umuryango: {0}
Client already has portal access,Umukiriya asanzwe afite uburenganzira bw'umuryango
Client has no portal user to revoke,Umukiriya nta mukoresha w'umuryango afite wo gukuraho
Client link removed from project {0},Isano y'umukiriya yakuwe ku mushinga {0}
Client Portal,Umuryango w'Umukiriya
Client {0} deleted successfully,Umukiriya {0} yasibwe neza
Close,Funga
Close (Esc),Funga (Esc)
Comment,Igitekerezo
comment,igitekerezo
Comment added,Igitekerezo cyongewemo
Comment content is required,Ibirimo by'igitekerezo bisabwa
Comment name is required,Izina ry'igitekerezo risabwa
Comment not found,Igitekerezo nticyabonetse
Comment removed,Igitekerezo cyakuwe
Comment {0} not found in task,Igitekerezo {0} nticyabonetse mu murimo
Comments,Ibitekerezo
comments,ibitekerezo
Community Edition,Community Edition
Company,Isosiyete
Company name...,Izina ry'isosiyete...
Complete,Rangiza
Completed,Byarangiye
completed,byarangiye
Completed Tasks,Imirimo yarangiye
Compliance,Kubahiriza amategeko
Configure default values for new projects and tasks,Shiraho agaciro ka mbere ku mishinga n'imirimo mishya
Configure email notification settings,Shiraho amabwiriza y'imenyesha z'imeri
Confirm,Emeza
Contact deleted,Umuntu wo guhamagara yasibwe
Contact Details,Amakuru y'umuntu wo guhamagara
Contact Information,Amakuru y'itumanaho
Contact name is required,Izina ry'umuntu wo guhamagara risabwa
Contact Support,Hamagara Ubufasha
Contact your project manager for more information.,Hamagara umuyobozi w'umushinga kugira ubone amakuru menshi.
Contact:,Umuntu wo guhamagara:
Contacts,Abantu bo guhamagara
Context,Imiterere
Contractor,Umukozi w'amasezerano
Cost estimate cannot be negative,Igipimo cy'igiciro ntigishobora kuba gihari
Cost Impact,Ingaruka ku giciro
Cost Summary,Incamake y'igiciro
Could not apply the template. Please try again.,Byanze gukoresha ingero. Ongera ugerageze.
Could not attach file to project,Byanze guhererekanya dosiye ku mushinga
Could not change task priority,Byanze guhindura ibyihutirwa by'umurimo
Could not change task status,Byanze guhindura imiterere y'umurimo
Could not delete the project. Please try again.,Byanze gusiba umushinga. Ongera ugerageze.
Could not delete the task. Please try again.,Byanze gusiba umurimo. Ongera ugerageze.
Could not delete the template.,Byanze gusiba ingero.
Could not duplicate the task. Please try again.,Byanze gusubiramo umurimo. Ongera ugerageze.
Could not export the template.,Byanze kohereza ingero hanze.
Could not import the template. Please check the file format.,Byanze kwinjiza ingero. Reba imiterere ya dosiye.
Could not link task to milestone,Byanze guhuza umurimo n'intambwe nkuru
Could not load document details.,Byanze gufungura amakuru y'inyandiko.
Could not load task details,Byanze gufungura amakuru y'umurimo
Could not promote checklist item to task.,Byanze gushyira hejuru igice cy'urutonde rwo kugenzura ngo kibe umurimo.
Could not remove task from milestone,Byanze gukura umurimo mu ntambwe nkuru
Could not save budget.,Byanze kubika ingengo y'imari.
Could not save changes to the milestone,Byanze kubika amahinduka y'intambwe nkuru
Could not save changes to the task,Byanze kubika amahinduka y'umurimo
Could not save description.,Byanze kubika ibisobanuro.
Could not save end date.,Byanze kubika itariki y'iherezo.
Could not save milestone name.,Byanze kubika izina ry'intambwe nkuru.
Could not save start date.,Byanze kubika itariki yo gutangira.
Could not save the template. Please try again.,Byanze kubika ingero. Ongera ugerageze.
Could not save title.,Byanze kubika umutwe.
Could not update dependency mode.,Byanze guhindura uburyo bw'isano.
Could not update milestone date,Byanze guhindura itariki y'intambwe nkuru
Could not update project status.,Byanze guhindura imiterere y'umushinga.
Could not update project type.,Byanze guhindura ubwoko bw'umushinga.
Could not update setting.,Byanze guhindura amabwiriza.
Could not update task dates,Byanze guhindura amatariki y'umurimo
Could not update task status,Byanze guhindura imiterere y'umurimo
Could not update the template.,Byanze guhindura ingero.
Create a copy of this task,Kora kopi y'uyu murimo
Create Contact,Kora Umuntu wo Guhamagara
Create Event,Kora Ikintu
Create Milestone,Kora Intambwe Nkuru
Create New Milestone,Kora Intambwe Nkuru Nshya
Create New Task,Kora Umurimo Mushya
Create Project,Kora Umushinga
Create Task,Kora Umurimo
Create tasks and milestones from a template,Kora imirimo n'intambwe nkuru uhereye ku ngero
Create your first project to get started.,Kora umushinga wawe wa mbere kugira utangire.
Create your first task to start tracking work on this project.,Kora umurimo wawe wa mbere kugira utangire gukurikirana akazi k'uyu mushinga.
Created,Byakozwe
Creating...,Birakora...
Critical,By'ingenzi cyane
Critical Path,Inzira y'Ingenzi
"Currency used for budgets, costs, and billing rates","Ifaranga rikoreshwa ku ngengo y'imari, ibiciro, n'ibipimo by'ubwishyu"
Current,Biriho ubu
Current Assignments,Ibigenewe biriho ubu
Current scheduled time:,Igihe gipanzwe ubu:
Currently running version,Currently running version
d lag,d y'ubukererwe
Daily Availability,Kuboneka bya buri munsi
Daily Hours,Amasaha ya buri munsi
Danger Zone,Ahantu h'akaga
Dark,Umwijima
Dashboard,Ikibaho
Date,Itariki
Date changes on this task will show cascade impact here,Amahinduka y'itariki ku murimo azagaragaza ingaruka z'umurongo hano
Date cleared,Itariki yakuwe
Date of Joining,Itariki yo kwinjira
Date updated,Itariki yahinduwe
Dates,Amatariki
Dates cascaded,Amatariki yasunikiranywe
Dates will be relative to the project's start date.,Amatariki azaba ahuriyeho n'itariki yo gutangira umushinga.
Day,Umunsi
day,umunsi
days,iminsi
Days before due date to send reminder,Iminsi mbere y'itariki yo kurangirira yo kohereza urwibutso
Days Overdue,Iminsi y'ubukererwe
Days Remaining,Iminsi isigaye
Deadline,Itariki ntarengwa
Deadlines,Amatariki ntarengwa
Decision,Icyemezo
Decline,Anga
Declined,Byanzwe
Default Currency,Ifaranga ry'ibanze
Default hours per week for contact capacity planning,Amasaha y'ibanze ku cyumweru yo gutegura ubushobozi bw'abantu bo guhamagara
Default Priority,Ibyihutirwa by'ibanze
Default Project Status,Imiterere y'ibanze y'umushinga
Default Task Status,Imiterere y'ibanze y'umurimo
Default task view,Igaragara ry'ibanze ry'umurimo
Default Values,Agaciro k'ibanze
Default Weekly Capacity,Ubushobozi bw'icyumweru bw'ibanze
Defaults,Iby'ibanze
Defect Cost Impact,Ingaruka y'igiciro cy'ikosa
Defect name is required,Izina ry'ikosa risabwa
Defect Type,Ubwoko bw'ikosa
Defect {0} not found,Ikosa {0} ntiryabonetse
Defects,Amakosa
Defects & Issues,Amakosa n'Ibibazo
Defects Resolved,Amakosa yakosoye
Delayed,Byatinze
Delete,Siba
Delete Activity Data,Siba Amakuru y'Ibikorwa
Delete all read notifications?,Siba imenyesha zose zasomwe?
Delete comment,Siba igitekerezo
Delete Contact,Siba Umuntu wo Guhamagara
Delete Event,Siba Ikintu
Delete Event?,Siba Ikintu?
Delete failed,Gusiba byanze
Delete file,Siba dosiye
Delete item,Siba igice
Delete note,Siba icyanditswe
Delete Project,Siba Umushinga
Delete Task,Siba Umurimo
Delete this project,Siba uyu mushinga
Deleted,Byasibwe
"Deleted project ""{0}"" ({1} tasks, {2} milestones)","Umushinga ""{0}"" wasibwe (imirimo {1}, intambwe nkuru {2})"
Deletes notes and preferences. Source document is not affected.,Isiba amandiko n'ibyashimwe. Inyandiko y'inkomoko ntireba.
Deleting...,Birasibwa...
Department,Ishami
Dependencies,Isano
dependencies,isano
Dependencies are informational only,Isano ni iz'amakuru gusa
dependency,isano
Dependency already exists,Isano isanzwe iriho
Dependency Chain,Urunigi rw'isano
Dependency created,Isano yakozwe
Dependency mode updated,Uburyo bw'isano bwahinduwe
Dependency name is required,Izina ry'isano risabwa
Dependency task {0} not found,Umurimo w'isano {0} ntiwaboneye
Dependency {0} not found,Isano {0} ntiryabonetse
depends,biterana na
Depends on Group,Iterana n'Itsinda
Depends on task is required,Umurimo uteganijwe usabwa
depends on...,biterana na...
Descending -- click to reverse,Kumanuka -- kanda uhindure
Describe the defect in detail...,Sobanura ikosa mu buryo burambuye...
Description,Ibisobanuro
Description updated,Ibisobanuro byahinduwe
Designation,Umwanya
"Detailed description of the defect, location, and impact","Ibisobanuro birambuye by'ikosa, aho riherereye, n'ingaruka zaryo"
Details,Amakuru
Discard timer,Juga isaha
Discussion,Ikiganiro
Dismiss,Dismiss
Display,Erekana
Document,Inyandiko
Document attached to project,Inyandiko yashyizwe ku mushinga
Document final decision and rationale,Andika icyemezo cy'iherezo n'impamvu
Documentation Review,Isuzuma ry'inyandiko
Documents,Inyandiko
Done,Byarangiye
Download,Manura
Drag to create dependency,Kurura kugira ukore isano
Dry Run,Ikizamini cy'igerageza
Dry Run Complete,Ikizamini cy'igerageza cyarangiye
Due Date,Itariki yo Kurangirira
Due date,Itariki yo kurangirira
Due Date (Earliest),Itariki yo Kurangirira (ya mbere)
Due date cannot be before start date,Itariki yo kurangirira ntishobora kuba mbere y'itariki yo gutangira
Due date is in the past,Itariki yo kurangirira yashize
Due Date Reminders,Ibirikumbuzo by'itariki yo kurangirira
Due Diligence,Isuzuma ry'umwihariko
Due Diligence Checklist,Urutonde rwo kugenzura isuzuma ry'umwihariko
Due This Week,Bisabwa iki cyumweru
Due:,Bisabwa:
Duplicate events are not allowed,Ibintu bisubirwamo ntibemewe
Duplicate failed,Gusubiramo byanze
Duplicate Task,Subiramo Umurimo
Duration,Igihe
Duration Summary,Incamake y'igihe
Duration:,Igihe:
e.g. Cracked wall finish in bathroom...,urugero: Urukuta rumenye mu bwogero...
"e.g. Electrical, Plumbing...","urugero: Amashanyarazi, Amazi..."
Edit,Hindura
Edit (E),Hindura (E)
Edit dependency,Hindura isano
Edit Event,Hindura Ikintu
Efficiency,Ubushobozi bwo gukora
Either dependency_name or depends_on is required,dependency_name cyangwa depends_on bisabwa
Email,Imeri
Email invitations to all attendees,Kohereza inzego z'imeri ku bitabiriye bose
Email is required to create portal user,Imeri isabwa kugira ukore umukoresha w'umuryango
Email notifications,Imenyesha z'imeri
Employee,Umukozi
Employee DocType not available,DocType y'Umukozi ntiboneka
Employee not found,Umukozi ntiyabonetse
Enable or disable optional features,Fungura cyangwa ufunge ibintu by'amahitamo
Enable Time Tracking,Fungura Gukurikirana Igihe
End,Iherezo
End Date,Itariki y'Iherezo
End date,Itariki y'iherezo
End Date cannot be before Start Date,Itariki y'Iherezo ntishobora kuba mbere y'Itariki yo Gutangira
End date cannot be before start date,Itariki y'iherezo ntishobora kuba mbere y'itariki yo gutangira
End date updated,Itariki y'iherezo yahinduwe
End time was before start time. Adjusted to 1 hour after start.,Isaha y'iherezo yari mbere y'isaha yo gutangira. Yahinduwe kuba isaha 1 nyuma yo gutangira.
End:,Iherezo:
Enter milestone name...,Injiza izina ry'intambwe nkuru...
Enter project name,Injiza izina ry'umushinga
Enter task title...,Injiza umutwe w'umurimo...
Enter template name,Injiza izina ry'ingero
Enter your note... Use @name to mention someone,Injiza icyanditswe cyawe... Koresha @izina kugira uvuge umuntu
Error,Ikosa
Error loading activity,Ikosa ryo gufungura ibikorwa
Error loading contacts,Ikosa ryo gufungura abantu bo guhamagara
Error loading dashboard,Ikosa ryo gufungura ikibaho
Error loading project,Ikosa ryo gufungura umushinga
Error loading projects,Ikosa ryo gufungura imishinga
Error loading settings,Ikosa ryo gufungura amabwiriza
Error loading tasks,Ikosa ryo gufungura imirimo
Error loading templates,Ikosa ryo gufungura ingero
Est. Hours,Amasaha agem.
Estimated,Byagemanwe
Estimated Cost,Igiciro cyagemanwe
Estimated Cost (€),Igiciro cyagemanwe (€)
Estimated Hours,Amasaha yagemanwe
Estimated:,Byagemanwe:
Evaluate potential risks and concerns,Suzuma akaga n'ibibazo bishoboka
Event,Ikintu
Event is required for event context,Ikintu gisabwa ku miterere y'ikintu
Event is required when tracking context is 'event',Ikintu gisabwa imiterere yo gukurikirana iri 'ikintu'
Event Type,Ubwoko bw'ikintu
Events,Ibintu
Events not available. Please run: bench --site orga.localhost migrate,Ibintu ntibiboneka. Koresha: bench --site orga.localhost migrate
Events:,Ibintu:
Expert,Umuhanga
Explain why you are proposing a different time...,Sobanura impamvu utanga igihe gitandukanye...
Export,Ohereza hanze
Export failed,Kohereza hanze byanze
Export JSON,Ohereza JSON hanze
Exported,Byoherejwe hanze
Exported to timesheet {0},Byoherejwe ku rupapuro rw'igihe {0}
External,Inyuma
Failed to add item,Byanze kongeraho igice
Failed to add note,Byanze kongeraho icyanditswe
Failed to add skill,Byanze kongeraho ubumenyi
Failed to apply cascade changes: {0},Byanze gukoresha amahinduka y'umurongo: {0}
Failed to create defect,Byanze gukora ikosa
Failed to create dependency,Byanze gukora isano
Failed to create event,Byanze gukora ikintu
Failed to create milestone,Byanze gukora intambwe nkuru
Failed to create project,Byanze gukora umushinga
Failed to create task,Byanze gukora umurimo
Failed to create time log,Byanze gukora inyandiko y'igihe
Failed to delete,Byanze gusiba
Failed to delete comment,Byanze gusiba igitekerezo
Failed to delete contact,Byanze gusiba umuntu wo guhamagara
Failed to load,Byanze gufungura
Failed to load activity,Byanze gufungura ibikorwa
Failed to load assignments,Byanze gufungura ibigenewe
Failed to load contact,Byanze gufungura umuntu wo guhamagara
Failed to load dashboard data,Byanze gufungura amakuru y'ikibaho
Failed to load defects,Byanze gufungura amakosa
Failed to load events,Byanze gufungura ibintu
Failed to load project,Byanze gufungura umushinga
Failed to load projects,Byanze gufungura imishinga
Failed to load report data,Byanze gufungura amakuru y'iraporo
Failed to load settings,Byanze gufungura amabwiriza
Failed to load tasks,Byanze gufungura imirimo
Failed to move task,Byanze kwimura umurimo
Failed to post comment,Byanze gutangaza igitekerezo
Failed to propose new time,Byanze gutanga igihe gishya
Failed to remove item,Byanze gukura igice
Failed to remove skill,Byanze gukura ubumenyi
Failed to reorder milestones: {0},Byanze gutondekanya intambwe nkuru: {0}
Failed to reorder tasks: {0},Byanze gutondekanya imirimo: {0}
Failed to reschedule dependent tasks: {0},Byanze gushyira ku gahunda gashya imirimo iteganijwe: {0}
Failed to save,Byanze kubika
Failed to save preferences,Byanze kubika ibyashimwe
Failed to save settings,Byanze kubika amabwiriza
Failed to submit request. Please try again.,Byanze kohereza icyifuzo. Ongera ugerageze.
Failed to update item,Byanze guhindura igice
Failed to update priority,Byanze guhindura ibyihutirwa
Failed to update task,Byanze guhindura umurimo
Failed to update tasks: {0},Byanze guhindura imirimo: {0}
Failed to upload avatar,Byanze kohereza ishusho y'umukoresha
Feature,Ikintu gishya
Features,Ibintu bishya
FF (Finish-Finish),FF (Iherezo-Iherezo)
FF - Finish-to-Finish,FF - Iherezo-kuri-Iherezo
Field has been updated,Umwanya wahinduwe
Field name is required for 'Set Field Value' action,Izina ry'umwanya risabwa ku gikorwa cyo 'Gushyira Agaciro k'Umwanya'
Field {0} is not a Link field,Umwanya {0} si umwanya w'isano
Field {0} not found in {1},Umwanya {0} ntiwaboneye muri {1}
File,Dosiye
file,dosiye
File does not belong to this task,Dosiye si iy'uyu murimo
File name is required,Izina rya dosiye risabwa
File uploaded,Dosiye yoherejwe
File {0} not found,Dosiye {0} ntiyabonetse
Files,Dosiye
files,dosiye
Filter,Higurana
Final Decision,Icyemezo cy'Iherezo
Finance,Imari
Financial,Iby'imari
Finish-to-Finish,Iherezo-kuri-Iherezo
Finish-to-Start,Iherezo-kuri-Itangiriro
Flag,Ikimenyetso
Flag for attention,Shyira ikimenyetso ngo bitite
Flagged,Byashyizweho ikimenyetso
Focus Panel,Icyapa cy'umwihariko
Follows your system preference. Currently:,Bikurikiza ibyashimwe n'imashini yawe. Ubu:
Frappe Project {0} not found,Umushinga wa Frappe {0} ntiwaboneye
Frappe Projects Migration,Kwimura Imishinga ya Frappe
Frappe Projects module not available,Modire ya Frappe Projects ntiboneka
Frappe Projects module not installed,Modire ya Frappe Projects ntiyashyizweho
